Método usado: ANTCOLONY OPTIMIZATION

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	23980
2	1.000000000000000e+00	23920
3	1.000000000000000e+00	23860
4	1.000000000000000e+00	26120
5	1.000000000000000e+00	23300
6	1.000000000000000e+00	24140
7	1.000000000000000e+00	23880
8	1.000000000000000e+00	23740
9	1.000000000000000e+00	27420
10	1.000000000000000e+00	24080
11	1.000000000000000e+00	24900
12	1.000000000000000e+00	23280
13	1.000000000000000e+00	24240
14	1.000000000000000e+00	23180
15	1.000000000000000e+00	24160
16	1.000000000000000e+00	24120
17	1.000000000000000e+00	24140
18	1.000000000000000e+00	24040
19	1.000000000000000e+00	23880
20	1.000000000000000e+00	23920
21	1.000000000000000e+00	24200
22	1.000000000000000e+00	23520
23	1.000000000000000e+00	23300
24	1.000000000000000e+00	22380
25	1.000000000000000e+00	25140
26	1.000000000000000e+00	24620
27	1.000000000000000e+00	23720
28	1.000000000000000e+00	25040
29	1.000000000000000e+00	24300
30	1.000000000000000e+00	23720
31	1.000000000000000e+00	23360
32	1.000000000000000e+00	25840
33	1.000000000000000e+00	24880
34	1.000000000000000e+00	24160
35	1.000000000000000e+00	22700
36	1.000000000000000e+00	23180
37	1.000000000000000e+00	24320
38	1.000000000000000e+00	23420
39	1.000000000000000e+00	24640
40	1.000000000000000e+00	23260
41	1.000000000000000e+00	24680
42	1.000000000000000e+00	23800
43	1.000000000000000e+00	24380
44	1.000000000000000e+00	22720
45	1.000000000000000e+00	23640
46	1.000000000000000e+00	23600
47	1.000000000000000e+00	23740
48	1.000000000000000e+00	23420
49	1.000000000000000e+00	24320
50	1.000000000000000e+00	25200
51	1.000000000000000e+00	24700
52	1.000000000000000e+00	25000
53	1.000000000000000e+00	24180
54	1.000000000000000e+00	24360
55	1.000000000000000e+00	24460
56	1.000000000000000e+00	22100
57	1.000000000000000e+00	23280
58	1.000000000000000e+00	22460
59	1.000000000000000e+00	24080
60	1.000000000000000e+00	24860
61	1.000000000000000e+00	23840
62	1.000000000000000e+00	25140
63	1.000000000000000e+00	24540
64	1.000000000000000e+00	22560
65	1.000000000000000e+00	24380
66	1.000000000000000e+00	23120
67	1.000000000000000e+00	23300
68	1.000000000000000e+00	23660
69	1.000000000000000e+00	23560
70	1.000000000000000e+00	24820
71	1.000000000000000e+00	23760
72	1.000000000000000e+00	24880
73	1.000000000000000e+00	23640
74	1.000000000000000e+00	23500
75	1.000000000000000e+00	26020
76	1.000000000000000e+00	24360
77	1.000000000000000e+00	22760
78	1.000000000000000e+00	24280
79	1.000000000000000e+00	24280
80	1.000000000000000e+00	23960
81	1.000000000000000e+00	23760
82	1.000000000000000e+00	24000
83	1.000000000000000e+00	25220
84	1.000000000000000e+00	25340
85	1.000000000000000e+00	24040
86	1.000000000000000e+00	24600
87	1.000000000000000e+00	25440
88	1.000000000000000e+00	25300
89	1.000000000000000e+00	24380
90	1.000000000000000e+00	23880
91	1.000000000000000e+00	25540
92	1.000000000000000e+00	24840
93	1.000000000000000e+00	24760
94	1.000000000000000e+00	23080
95	1.000000000000000e+00	23660
96	1.000000000000000e+00	22880
97	1.000000000000000e+00	25000
98	1.000000000000000e+00	23040
99	1.000000000000000e+00	24540
100	1.000000000000000e+00	24120
101	1.000000000000000e+00	23640
102	1.000000000000000e+00	24000
103	1.000000000000000e+00	24500
104	1.000000000000000e+00	23820
105	1.000000000000000e+00	23940
106	1.000000000000000e+00	24420
107	1.000000000000000e+00	24800
108	1.000000000000000e+00	24260
109	1.000000000000000e+00	24660
110	1.000000000000000e+00	24000
111	1.000000000000000e+00	23260
112	1.000000000000000e+00	23600
113	1.000000000000000e+00	24260
114	1.000000000000000e+00	24160
115	1.000000000000000e+00	24560
116	1.000000000000000e+00	22880
117	1.000000000000000e+00	23780
118	1.000000000000000e+00	24420
119	1.000000000000000e+00	23720
120	1.000000000000000e+00	24220
121	1.000000000000000e+00	23600
122	1.000000000000000e+00	26020
123	1.000000000000000e+00	25340
124	1.000000000000000e+00	24200
125	1.000000000000000e+00	24720
126	1.000000000000000e+00	25480
127	1.000000000000000e+00	23480
128	1.000000000000000e+00	24080
129	1.000000000000000e+00	24140
130	1.000000000000000e+00	23480
131	1.000000000000000e+00	25460
132	1.000000000000000e+00	23940
133	1.000000000000000e+00	24540
134	1.000000000000000e+00	23060
135	1.000000000000000e+00	23540
136	1.000000000000000e+00	23020
137	1.000000000000000e+00	23700
138	1.000000000000000e+00	22720
139	1.000000000000000e+00	23920
140	1.000000000000000e+00	23260
141	1.000000000000000e+00	23520
142	1.000000000000000e+00	23980
143	1.000000000000000e+00	24920
144	1.000000000000000e+00	25840
145	1.000000000000000e+00	25180
146	1.000000000000000e+00	23220
147	1.000000000000000e+00	23920
148	1.000000000000000e+00	22680
149	1.000000000000000e+00	25240
150	1.000000000000000e+00	22920
151	1.000000000000000e+00	24960
152	1.000000000000000e+00	24660
153	1.000000000000000e+00	25220
154	1.000000000000000e+00	24200
155	1.000000000000000e+00	23560
156	1.000000000000000e+00	23760
157	1.000000000000000e+00	24360
158	1.000000000000000e+00	25080
159	1.000000000000000e+00	23800
160	1.000000000000000e+00	23660
161	1.000000000000000e+00	24560
162	1.000000000000000e+00	24400
