Método usado: ANTCOLONY OPTIMIZATION

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	22660
2	1.000000000000000e+00	22360
3	1.000000000000000e+00	22200
4	1.000000000000000e+00	24520
5	1.000000000000000e+00	22100
6	1.000000000000000e+00	22480
7	1.000000000000000e+00	22640
8	1.000000000000000e+00	22040
9	1.000000000000000e+00	25560
10	1.000000000000000e+00	22180
11	1.000000000000000e+00	23300
12	1.000000000000000e+00	21960
13	1.000000000000000e+00	22420
14	1.000000000000000e+00	21380
15	1.000000000000000e+00	22720
16	1.000000000000000e+00	22720
17	1.000000000000000e+00	22560
18	1.000000000000000e+00	21640
19	1.000000000000000e+00	22440
20	1.000000000000000e+00	22300
21	1.000000000000000e+00	22300
22	1.000000000000000e+00	21720
23	1.000000000000000e+00	21640
24	1.000000000000000e+00	21000
25	1.000000000000000e+00	23480
26	1.000000000000000e+00	23000
27	1.000000000000000e+00	22360
28	1.000000000000000e+00	23580
29	1.000000000000000e+00	22720
30	1.000000000000000e+00	22360
31	1.000000000000000e+00	21400
32	1.000000000000000e+00	24140
33	1.000000000000000e+00	23420
34	1.000000000000000e+00	22800
35	1.000000000000000e+00	21400
36	1.000000000000000e+00	21580
37	1.000000000000000e+00	22580
38	1.000000000000000e+00	21720
39	1.000000000000000e+00	22920
40	1.000000000000000e+00	21740
41	1.000000000000000e+00	22780
42	1.000000000000000e+00	22380
43	1.000000000000000e+00	22600
44	1.000000000000000e+00	21260
45	1.000000000000000e+00	22060
46	1.000000000000000e+00	22060
47	1.000000000000000e+00	22060
48	1.000000000000000e+00	21980
49	1.000000000000000e+00	22800
50	1.000000000000000e+00	22880
51	1.000000000000000e+00	23240
52	1.000000000000000e+00	23460
53	1.000000000000000e+00	22560
54	1.000000000000000e+00	22600
55	1.000000000000000e+00	22620
56	1.000000000000000e+00	20420
57	1.000000000000000e+00	21600
58	1.000000000000000e+00	20900
59	1.000000000000000e+00	22520
60	1.000000000000000e+00	23440
61	1.000000000000000e+00	22200
62	1.000000000000000e+00	23440
63	1.000000000000000e+00	22960
64	1.000000000000000e+00	21080
65	1.000000000000000e+00	22740
66	1.000000000000000e+00	21660
67	1.000000000000000e+00	21340
68	1.000000000000000e+00	21960
69	1.000000000000000e+00	22000
70	1.000000000000000e+00	23100
71	1.000000000000000e+00	21980
72	1.000000000000000e+00	23500
73	1.000000000000000e+00	22000
74	1.000000000000000e+00	22080
75	1.000000000000000e+00	24200
76	1.000000000000000e+00	23120
77	1.000000000000000e+00	20800
78	1.000000000000000e+00	22560
79	1.000000000000000e+00	22940
80	1.000000000000000e+00	22460
81	1.000000000000000e+00	21940
82	1.000000000000000e+00	22100
83	1.000000000000000e+00	23540
84	1.000000000000000e+00	23380
85	1.000000000000000e+00	22900
86	1.000000000000000e+00	23100
87	1.000000000000000e+00	23480
88	1.000000000000000e+00	23280
89	1.000000000000000e+00	22680
90	1.000000000000000e+00	22020
91	1.000000000000000e+00	23900
92	1.000000000000000e+00	23260
93	1.000000000000000e+00	23020
94	1.000000000000000e+00	21760
95	1.000000000000000e+00	22240
96	1.000000000000000e+00	21460
97	1.000000000000000e+00	23400
98	1.000000000000000e+00	21600
99	1.000000000000000e+00	22960
100	1.000000000000000e+00	22400
101	1.000000000000000e+00	22000
102	1.000000000000000e+00	22500
103	1.000000000000000e+00	22720
104	1.000000000000000e+00	22140
105	1.000000000000000e+00	21780
106	1.000000000000000e+00	22680
107	1.000000000000000e+00	23180
108	1.000000000000000e+00	22580
109	1.000000000000000e+00	23080
110	1.000000000000000e+00	22560
111	1.000000000000000e+00	21700
112	1.000000000000000e+00	22480
113	1.000000000000000e+00	22800
