Método usado: ANTCOLONY OPTIMIZATION

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	25840
2	1.000000000000000e+00	25720
3	1.000000000000000e+00	25860
4	1.000000000000000e+00	28080
5	1.000000000000000e+00	25060
6	1.000000000000000e+00	25840
7	1.000000000000000e+00	25760
8	1.000000000000000e+00	25920
9	1.000000000000000e+00	29900
10	1.000000000000000e+00	25700
11	1.000000000000000e+00	26640
12	1.000000000000000e+00	24840
13	1.000000000000000e+00	26280
14	1.000000000000000e+00	24860
15	1.000000000000000e+00	25720
16	1.000000000000000e+00	25980
17	1.000000000000000e+00	25880
18	1.000000000000000e+00	25920
19	1.000000000000000e+00	25560
20	1.000000000000000e+00	26360
21	1.000000000000000e+00	25900
22	1.000000000000000e+00	25740
23	1.000000000000000e+00	25480
24	1.000000000000000e+00	24520
25	1.000000000000000e+00	27300
26	1.000000000000000e+00	26740
27	1.000000000000000e+00	25420
28	1.000000000000000e+00	26860
29	1.000000000000000e+00	26120
30	1.000000000000000e+00	26020
31	1.000000000000000e+00	25140
32	1.000000000000000e+00	27880
33	1.000000000000000e+00	26840
34	1.000000000000000e+00	26060
35	1.000000000000000e+00	24400
36	1.000000000000000e+00	25320
37	1.000000000000000e+00	26900
38	1.000000000000000e+00	25180
39	1.000000000000000e+00	26840
40	1.000000000000000e+00	25140
41	1.000000000000000e+00	26260
42	1.000000000000000e+00	25320
43	1.000000000000000e+00	26280
44	1.000000000000000e+00	24380
45	1.000000000000000e+00	25540
46	1.000000000000000e+00	25640
47	1.000000000000000e+00	25860
48	1.000000000000000e+00	25460
49	1.000000000000000e+00	25780
50	1.000000000000000e+00	27020
51	1.000000000000000e+00	26500
52	1.000000000000000e+00	26800
53	1.000000000000000e+00	25900
54	1.000000000000000e+00	26420
55	1.000000000000000e+00	26020
56	1.000000000000000e+00	24100
57	1.000000000000000e+00	25020
58	1.000000000000000e+00	24360
59	1.000000000000000e+00	26160
60	1.000000000000000e+00	26560
61	1.000000000000000e+00	25800
62	1.000000000000000e+00	27280
63	1.000000000000000e+00	26620
64	1.000000000000000e+00	24800
65	1.000000000000000e+00	26140
66	1.000000000000000e+00	25320
67	1.000000000000000e+00	25920
68	1.000000000000000e+00	25260
69	1.000000000000000e+00	25900
70	1.000000000000000e+00	26420
71	1.000000000000000e+00	25640
72	1.000000000000000e+00	26880
73	1.000000000000000e+00	25900
74	1.000000000000000e+00	24860
75	1.000000000000000e+00	27980
76	1.000000000000000e+00	25940
